"","species","individualCount","eventDate","trap","area","date"
"88","Aedes albopictus",5,"2023-08-22T07:31/2023-08-23T07:31","BG01","PaAig",2023-08-22
"89","Aedes albopictus",29,"2023-06-27T08:57/2023-06-28T08:57","BG24","UrbAca",2023-06-27
"90","Aedes albopictus",2,"2023-08-23T08:36/2023-08-24T08:36","BG23","UrbDid",2023-08-23
"91","Aedes albopictus",1,"2023-07-26T08:23/2023-07-27T08:23","BG22","UrbBB",2023-07-26
"92","Aedes albopictus",3,"2023-07-25T13:13/2023-07-26T13:13","BG12","ZPSou",2023-07-25
"93","Aedes albopictus",5,"2023-08-23T07:31/2023-08-24T07:31","BG01","PaAig",2023-08-23
"94","Aedes albopictus",4,"2023-08-22T10:43/2023-08-23T10:43","BG15","ZPAig",2023-08-22
"95","Aedes albopictus",12,"2023-08-23T10:43/2023-08-24T10:43","BG15","ZPAig",2023-08-23
"96","Aedes albopictus",28,"2023-06-28T10:21/2023-06-29T10:21","BG05","PaJdP",2023-06-28
"97","Aedes albopictus",25,"2023-08-23T07:25/2023-08-24T07:25","BG02","PaAig",2023-08-23
"98","Aedes albopictus",35,"2023-07-26T11:36/2023-07-27T11:36","BG15","ZPAig",2023-07-26
"99","Aedes albopictus",9,"2023-06-27T08:00/2023-06-28T08:00","BG21","UrbStC",2023-06-27
"100","Aedes albopictus",1,"2023-07-25T08:23/2023-07-26T08:23","BG22","UrbBB",2023-07-25
"101","Aedes albopictus",5,"2023-09-19T12:28/2023-09-20T12:28","BG13","ZPSou",2023-09-19
"102","Aedes albopictus",3,"2023-06-28T09:56/2023-06-29T09:56","BG04","PaJdP",2023-06-28
"103","Aedes albopictus",1,"2023-10-16T12:11/2023-10-17T12:11","BG12","ZPSou",2023-10-16
"104","Aedes albopictus",5,"2023-09-19T07:42/2023-09-20T07:42","BG01","PaAig",2023-09-19
"105","Aedes albopictus",2,"2023-10-16T08:05/2023-10-17T08:05","BG02","PaAig",2023-10-16
"106","Aedes albopictus",10,"2023-06-27T09:56/2023-06-28T09:56","BG04","PaJdP",2023-06-27
"107","Aedes albopictus",1,"2023-10-16T08:49/2023-10-17T08:49","BG22","UrbBB",2023-10-16
"108","Aedes albopictus",7,"2023-10-16T08:40/2023-10-17T08:40","BG21","UrbStC",2023-10-16
"109","Aedes albopictus",12,"2023-08-22T09:33/2023-08-23T09:33","BG04","PaJdP",2023-08-22
"110","Aedes albopictus",1,"2023-05-03T10:04/2023-05-04T10:04","BG05","PaJdP",2023-05-03
"111","Aedes albopictus",2,"2023-05-30T08:37/2023-05-31T08:37","BG22","UrbBB",2023-05-30
"112","Aedes albopictus",13,"2023-07-25T07:38/2023-07-26T07:38","BG02","PaAig",2023-07-25
"113","Aedes albopictus",1,"2023-05-30T12:12/2023-05-31T12:12","BG14","ZPLem",2023-05-30
"114","Aedes albopictus",8,"2023-05-30T13:34/2023-05-31T13:34","BG12","ZPSou",2023-05-30
"115","Aedes albopictus",11,"2023-06-27T11:40/2023-06-28T11:40","BG16","ZPAig",2023-06-27
"116","Aedes albopictus",1,"2023-07-26T10:14/2023-07-27T10:14","BG04","PaJdP",2023-07-26
"117","Aedes albopictus",3,"2023-07-25T08:05/2023-07-26T08:05","BG21","UrbStC",2023-07-25
"118","Aedes albopictus",3,"2023-08-22T10:51/2023-08-23T10:51","BG16","ZPAig",2023-08-22
"119","Aedes albopictus",30,"2023-06-27T13:48/2023-06-28T13:48","BG01","PaAig",2023-06-27
"120","Aedes albopictus",3,"2023-06-28T12:30/2023-06-29T12:30","BG11","ZPLem",2023-06-28
"121","Aedes albopictus",16,"2023-06-28T13:12/2023-06-29T13:12","BG13","ZPSou",2023-06-28
"122","Aedes albopictus",8,"2023-08-22T08:39/2023-08-23T08:39","BG24","UrbAca",2023-08-22
"123","Aedes albopictus",9,"2023-05-30T08:14/2023-05-31T08:14","BG21","UrbStC",2023-05-30
"124","Aedes albopictus",14,"2023-08-22T09:33/2023-08-23T09:33","BG05","PaJdP",2023-08-22
"125","Aedes albopictus",47,"2023-06-27T14:03/2023-06-28T14:03","BG02","PaAig",2023-06-27
"126","Aedes albopictus",15,"2023-08-23T08:07/2023-08-24T08:07","BG21","UrbStC",2023-08-23
